"tenant","intervalsStart","intervalsEnd","mRID_Meter","unit","unitSource","flowDirection","measurementKind","phases","source","intervals","intervalStart","intervalEnd","intervalValue","intervalQuality"
"SCE",2017-01-01T09:00:00.000+00:00,2017-01-02T09:00:00.000+00:00,"2.16.840.1.114416.1.5.222011376973","Vavg","Vh(a)","F","V:AVG",,"AMI",24,"2017-01-01T09:00:00.000+00:00,2017-01-01T10:00:00.000+00:00,2017-01-01T11:00:00.000+00:00,2017-01-01T12:00:00.000+00:00,2017-01-01T13:00:00.000+00:00,2017-01-01T14:00:00.000+00:00,2017-01-01T15:00:00.000+00:00,2017-01-01T16:00:00.000+00:00,2017-01-01T17:00:00.000+00:00,2017-01-01T18:00:00.000+00:00,2017-01-01T19:00:00.000+00:00,2017-01-01T20:00:00.000+00:00,2017-01-01T21:00:00.000+00:00,2017-01-01T22:00:00.000+00:00,2017-01-01T23:00:00.000+00:00,2017-01-02T00:00:00.000+00:00,2017-01-02T01:00:00.000+00:00,2017-01-02T02:00:00.000+00:00,2017-01-02T03:00:00.000+00:00,2017-01-02T04:00:00.000+00:00,2017-01-02T05:00:00.000+00:00,2017-01-02T06:00:00.000+00:00,2017-01-02T07:00:00.000+00:00,2017-01-02T08:00:00.000+00:00","2017-01-01T10:00:00.000+00:00,2017-01-01T11:00:00.000+00:00,2017-01-01T12:00:00.000+00:00,2017-01-01T13:00:00.000+00:00,2017-01-01T14:00:00.000+00:00,2017-01-01T15:00:00.000+00:00,2017-01-01T16:00:00.000+00:00,2017-01-01T17:00:00.000+00:00,2017-01-01T18:00:00.000+00:00,2017-01-01T19:00:00.000+00:00,2017-01-01T20:00:00.000+00:00,2017-01-01T21:00:00.000+00:00,2017-01-01T22:00:00.000+00:00,2017-01-01T23:00:00.000+00:00,2017-01-02T00:00:00.000+00:00,2017-01-02T01:00:00.000+00:00,2017-01-02T02:00:00.000+00:00,2017-01-02T03:00:00.000+00:00,2017-01-02T04:00:00.000+00:00,2017-01-02T05:00:00.000+00:00,2017-01-02T06:00:00.000+00:00,2017-01-02T07:00:00.000+00:00,2017-01-02T08:00:00.000+00:00,2017-01-02T09:00:00.000+00:00","212.5,213.2,213.6,213.925,213.95,213.7,213.8,215.725,215.025,215.325,215.075,214.925,214.925,214.725,214.875,214.5,214.075,212.525,213.25,213.55,213.675,213.675,212.475,212.975",
"SCE",2017-01-02T09:00:00.000+00:00,2017-01-03T09:00:00.000+00:00,"2.16.840.1.114416.1.5.222011376973","Vavg","Vh(a)","F","V:AVG",,"AMI",24,"2017-01-02T09:00:00.000+00:00,2017-01-02T10:00:00.000+00:00,2017-01-02T11:00:00.000+00:00,2017-01-02T12:00:00.000+00:00,2017-01-02T13:00:00.000+00:00,2017-01-02T14:00:00.000+00:00,2017-01-02T15:00:00.000+00:00,2017-01-02T16:00:00.000+00:00,2017-01-02T17:00:00.000+00:00,2017-01-02T18:00:00.000+00:00,2017-01-02T19:00:00.000+00:00,2017-01-02T20:00:00.000+00:00,2017-01-02T21:00:00.000+00:00,2017-01-02T22:00:00.000+00:00,2017-01-02T23:00:00.000+00:00,2017-01-03T00:00:00.000+00:00,2017-01-03T01:00:00.000+00:00,2017-01-03T02:00:00.000+00:00,2017-01-03T03:00:00.000+00:00,2017-01-03T04:00:00.000+00:00,2017-01-03T05:00:00.000+00:00,2017-01-03T06:00:00.000+00:00,2017-01-03T07:00:00.000+00:00,2017-01-03T08:00:00.000+00:00","2017-01-02T10:00:00.000+00:00,2017-01-02T11:00:00.000+00:00,2017-01-02T12:00:00.000+00:00,2017-01-02T13:00:00.000+00:00,2017-01-02T14:00:00.000+00:00,2017-01-02T15:00:00.000+00:00,2017-01-02T16:00:00.000+00:00,2017-01-02T17:00:00.000+00:00,2017-01-02T18:00:00.000+00:00,2017-01-02T19:00:00.000+00:00,2017-01-02T20:00:00.000+00:00,2017-01-02T21:00:00.000+00:00,2017-01-02T22:00:00.000+00:00,2017-01-02T23:00:00.000+00:00,2017-01-03T00:00:00.000+00:00,2017-01-03T01:00:00.000+00:00,2017-01-03T02:00:00.000+00:00,2017-01-03T03:00:00.000+00:00,2017-01-03T04:00:00.000+00:00,2017-01-03T05:00:00.000+00:00,2017-01-03T06:00:00.000+00:00,2017-01-03T07:00:00.000+00:00,2017-01-03T08:00:00.000+00:00,2017-01-03T09:00:00.000+00:00","213.4,213.35,213.3,213.325,213.1,212.3,212.65,215.2,214.625,214.275,214.075,214.125,215.4,214.6,214.675,214.725,214.35,212.925,213.275,213.65,214.05,213.875,212.425,213.075",
